"id","name","slug","_lft","_rgt","parent_id","created_at","updated_at","usable"
3,"Auburn","alabama-auburn",3,4,2,"2018-04-25 14:04:14","2018-04-25 14:04:14",FALSE
4,"Birmingham","alabama-birmingham",5,6,2,"2018-04-25 14:04:14","2018-04-25 14:04:14",FALSE
5,"Dothan","alabama-dothan",7,8,2,"2018-04-25 14:04:14","2018-04-25 14:04:14",FALSE
6,"Florence / Muscle shoals","alabama-florence-muscle-shoals",9,10,2,"2018-04-25 14:04:14","2018-04-25 14:04:14",FALSE
7,"Huntsville / Decatur","alabama-huntsville-decatur",11,12,2,"2018-04-25 14:04:14","2018-04-25 14:04:14",FALSE
8,"Mobile","alabama-mobile",13,14,2,"2018-04-25 14:04:14","2018-04-25 14:04:14",FALSE
9,"Montgomery","alabama-montgomery",15,16,2,"2018-04-25 14:04:14","2018-04-25 14:04:14",FALSE
2,"Alabama","us-alabama",2,19,1,"2018-04-25 14:04:14","2018-04-25 14:04:14",FALSE
10,"Tuscaloosa","alabama-tuscaloosa",17,18,2,"2018-04-25 14:04:14","2018-04-25 14:04:14",FALSE
12,"Anchorage / Mat-su","alaska-anchorage-mat-su",21,22,11,"2018-04-25 14:04:14","2018-04-25 14:04:14",FALSE
